file,phenol_5_6_7,carbox_acid,benzoic_acid,thiol_thiophenol,aliphatic_alcohol,sec_amine_neg,heteorcyle_phen,alinine,primary_amine,tert_amine,sec_amine_sec_amine_ring,ring,aromatic,charge,hybridization,delta_tpsa,conjugate_acid,conjugate_base,predicted_rf (pKa),exp_pKa (pKa)
SM01,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,c1cc2c(cc1[OH:16])c3c(o2)C(=O)NCCC3,c1cc2c(cc1[O-:16])c3c(o2)C(=O)NCCC3,10.03,9.53
SM02,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4.84,c1ccc2c(c1)c(=[NH+]c3cccc(c3)C(F)(F)F)nc[nH]2,c1ccc2c(c1)c(ncn2)Nc3cccc(c3)C(F)(F)F,5.23,5.03
SM03,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,O=C(Nc1nnc(Cc2ccccc2)s1)c1cccs1,O=C([N-]c1nnc(Cc2ccccc2)s1)c1cccs1,7.39,7.02
SM04,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1.25,Clc1ccc(CNc2nc[nH+]c3ccccc23)cc1,Clc1ccc(CNc2ncnc3ccccc23)cc1,6.58,6.02
SM05,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,c1ccc(c(c1)NC(=O)c2ccc(o2)Cl)[NH+:17]3CCCCC3,c1ccc(c(c1)NC(=O)c2ccc(o2)Cl)[N:17]3CCCCC3,6.09,4.59
SM06,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,c1cc2cccnc2c(c1)[NH:18]C(=O)c3cc(cnc3)Br,c1cc2cccnc2c(c1)[N-:18]C(=O)c3cc(cnc3)Br,11.05,11.74
SM06,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1.25,c1cc2ccc[nH+:17]c2c(c1)NC(=O)c3cc(cnc3)Br,c1cc2ccc[n:17]c2c(c1)NC(=O)c3cc(cnc3)Br,2.83,3.03
SM07,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1.25,c1ccc(cc1)CNc2c3ccccc3[nH+]c[n:17]2,c1ccc(cc1)CNc2c3ccccc3nc[n:17]2,6.87,6.08
SM08,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,Cc1ccc2c(c1)c(c(c(=O)[nH]2)CC(=O)[OH:22])c3ccccc3,Cc1ccc2c(c1)c(c(c(=O)[nH]2)CC(=O)[O-:22])c3ccccc3,4,4.22
SM09,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1.25,COc1cccc(c1)Nc2c3ccccc3[nH+:16]cn2,COc1cccc(c1)Nc2c3ccccc3[n:16]cn2,5.22,5.37
