file,phenol_5_6_7,carbox_acid,benzoic_acid,thiol_thiophenol,aliphatic_alcohol,sec_amine_neg,heteorcyle_phen,alinine,primary_amine,tert_amine,sec_amine_sec_amine_ring,ring,aromatic,charge,hybridization,delta_tpsa,conjugate_acid,conjugate_base,exp_pKa (pKa)
1,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,4,38.8,CC(=O)c1ccc(cc1)[SH:10],CC(=O)c1ccc(cc1)[S-:10],5.33
2,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,4,38.8,C([C@H]([C@H]([C@@H]([C@H](C[SH:12])O)O)O)O)O,C([C@H]([C@H]([C@@H]([C@H](C[S-:12])O)O)O)O)O,9.35
3,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,4,-2.83,C(C(F)F)[OH:3],C(C(F)F)[O-:3],13.11
4,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,4,-2.83,C(CF)[OH:3],C(CF)[O-:3],14.2
5,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,4,38.8,CS(=O)(=O)CC[SH:6],CS(=O)(=O)CC[S-:6],7.9
6,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,Cc1cc(ccc1[OH:8])Cl,Cc1cc(ccc1[O-:8])Cl,9.71
7,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,4,38.8,c1cc(cc(c1)Cl)[SH:7],c1cc(cc(c1)Cl)[S-:7],5.78
8,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,4,38.8,COc1cccc(c1)[SH:9],COc1cccc(c1)[S-:9],6.39
10,0,0,0,1,0,0,0,0,0,0,0,0,0,-1,4,38.8,c1cc(ccc1[SH:7])Br,c1cc(ccc1[S-:7])Br,6.02
11,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,CCCc1ccc(cc1)[OH:10],CCCc1ccc(cc1)[O-:10],10.34
12,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,4,-2.83,C=CC[OH:4],C=CC[O-:4],15.52
13,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,COc1cc(nc(n1)NC(=O)[NH:20]S(=O)(=O)Cc2ccccc2C(=O)OC)OC,COc1cc(nc(n1)NC(=O)[N-:20]S(=O)(=O)Cc2ccccc2C(=O)OC)OC,5.2
14,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,-2.07,CC(C)N1C(=O)c2ccccc2[NH:11]S1(=O)=O,CC(C)N1C(=O)c2ccccc2[N-:11]S1(=O)=O,3.3
15,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,Cc1ccc(cc1)n2c(cc(n2)C(C)(C)C)NC(=O)Nc3ccc(c4c3cccc4)OCC[NH+:34]5CCOCC5,Cc1ccc(cc1)n2c(cc(n2)C(C)(C)C)NC(=O)Nc3ccc(c4c3cccc4)OCC[N:34]5CCOCC5,6.41
16,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,CCC[N@@H+:18]1CCCC[C@H]1C(=O)Nc2c(cccc2C)C,CCC[N@@:18]1CCCC[C@H]1C(=O)Nc2c(cccc2C)C,8.07
17,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1.2,Cc1cc(ccc1OCC(=O)[O-])C[N@@H+:26](CC(=O)Nc2ccc(cc2Cl)Cl)C3CCCCC3,Cc1cc(ccc1OCC(=O)[O-])C[N@@:26](CC(=O)Nc2ccc(cc2Cl)Cl)C3CCCCC3,6.7
18,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,Cc1cc(ccc1OCC(=O)[OH:29])C[N@@H+](CC(=O)Nc2ccc(cc2Cl)Cl)C3CCCCC3,Cc1cc(ccc1OCC(=O)[O-:29])C[N@@H+](CC(=O)Nc2ccc(cc2Cl)Cl)C3CCCCC3,2.9
20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1.2,C[NH+:21](C)CCCN1c2ccccc2CCc3c1cccc3,C[N:21](C)CCCN1c2ccccc2CCc3c1cccc3,9.45
21,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1.62,COc1ccc(c(c1)[C@H](CNC(=O)C[NH3+:13])O)OC,COc1ccc(c(c1)[C@H](CNC(=O)C[NH2:13])O)OC,7.59
22,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1.2,CC[NH+:23](CC)CC#CCOC(=O)[C@](c1ccccc1)(C2CCCCC2)O,CC[N:23](CC)CC#CCOC(=O)[C@](c1ccccc1)(C2CCCCC2)O,7.5
23,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1.2,C[NH+:17](C)C[C@H]1CCCC[C@@]1(c2cccc(c2)OC)O,C[N:17](C)C[C@H]1CCCC[C@@]1(c2cccc(c2)OC)O,8.3
24,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(c(c2)F)[NH+:18]3CCOCC3,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(c(c2)F)[N:18]3CCOCC3,6.81
25,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1.25,Cc1[nH+:7]cc(n1CCO)N(=O)=O,Cc1[n:7]cc(n1CCO)N(=O)=O,2.51
26,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1.62,CCOC(=O)C1=C(NC(=C([C@@H]1c2ccccc2Cl)C(=O)OC)C)COCC[NH3+:22],CCOC(=O)C1=C(NC(=C([C@@H]1c2ccccc2Cl)C(=O)OC)C)COCC[NH2:22],8.6
28,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,Cc1cc(ccc1OCC(=O)[O-])C[N@H+:26]2Cc3ccccc3[C@@H]2C(=O)Nc4ccc(cc4Cl)Cl,Cc1cc(ccc1OCC(=O)[O-])C[N@:26]2Cc3ccccc3[C@@H]2C(=O)Nc4ccc(cc4Cl)Cl,5.6
29,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,Cc1cc(ccc1OCC(=O)[OH:30])C[N@H+]2Cc3ccccc3[C@@H]2C(=O)Nc4ccc(cc4Cl)Cl,Cc1cc(ccc1OCC(=O)[O-:30])C[N@H+]2Cc3ccccc3[C@@H]2C(=O)Nc4ccc(cc4Cl)Cl,3.1
30,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,COc1ccc2c(c1)c(ccn2)[C@H]([C@@H]3C[C@@H]4CC[N@H+:22]3C[C@@H]4C=C)O,COc1ccc2c(c1)c(ccn2)[C@H]([C@@H]3C[C@@H]4CC[N@:22]3C[C@@H]4C=C)O,8.8
31,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,1.61,c1cc(ccc1C#N)C(=O)N2CCC3(CC2)Nc4c(ccc(c4C(=[NH+:22]3)N)F)F,c1cc(ccc1C#N)C(=O)N2CCC3(CC2)Nc4c(ccc(c4C(=[N:22]3)N)F)F,8.15
32,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,3,-2.83,c1ccc(cc1)/C(=C/C(=O)[OH:12])/C(F)(F)F,c1ccc(cc1)/C(=C/C(=O)[O-:12])/C(F)(F)F,2.41
33,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,CCC(CC)NC(=O)c1c(n(nn1)c2ccccc2)[NH:25]S(=O)(=O)c3ccc(cc3)C,CCC(CC)NC(=O)c1c(n(nn1)c2ccccc2)[N-:25]S(=O)(=O)c3ccc(cc3)C,3.3
34,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,CCC(CC)n1c(c(c(n1)C)C(=O)N[C@@H](C)C(C)(C)C)[NH:26]S(=O)(=O)c2ccc(cc2)C,CCC(CC)n1c(c(c(n1)C)C(=O)N[C@@H](C)C(C)(C)C)[N-:26]S(=O)(=O)c2ccc(cc2)C,4.6
35,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,-2.07,Cc1c(c(n(n1)C2CCOCC2)[NH:28]S(=O)(=O)c3ccc(cc3)C4CC4)C(=O)N[C@@H](C)C(C)(C)C,Cc1c(c(n(n1)C2CCOCC2)[N-:28]S(=O)(=O)c3ccc(cc3)C4CC4)C(=O)N[C@@H](C)C(C)(C)C,5
36,0,0,0,0,0,1,0,0,0,0,0,1,1,-1,3,1.69,c1cc(ccc1c2n[nH:28]nn2)C(=O)N3CCC(CC3)[NH+]4CCC(CC4)Oc5ccc(c(c5)Cl)Cl,c1cc(ccc1c2n[n-:28]nn2)C(=O)N3CCC(CC3)[NH+]4CCC(CC4)Oc5ccc(c(c5)Cl)Cl,3.6
37,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,1.2,c1ccc(cc1)S(=O)(=O)[N-]C(=O)N2CCC(CC2)[NH+:25]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,c1ccc(cc1)S(=O)(=O)[N-]C(=O)N2CCC(CC2)[N:25]3CCC(CC3)Oc4ccc(c(c4)Cl)Cl,8.1
