,0
0,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
1,[H]N=C(S[H])N([H])[H]
2,[H]SC([H])(C([H])([H])[H])C([H])([H])[H]
3,[H]C([H])([H])C(F)(F)F
4,[H]ON=C([H])[H]
5,[H]C([H])=NC([H])([H])[H]
6,[H]C([H])=C(C#N)C([H])([H])[H]
7,[H]N([H])C([H])(C([H])([H])[H])C([H])([H])[H]
8,[H]OC([H])(C([H])([H])[H])C([H])([H])[H]
9,[H]C([H])=C([H])N([H])[H]
10,[H]C([H])([H])C([H])(C([H])([H])[H])[N+]([H])([H])[H]
11,[H]N=C(O[H])N([H])[H]
12,[H]OC(=C([H])[H])C([H])([H])[H]
13,[H]N=C(N([H])[H])C([H])([H])[H]
14,[H]C([H])([H])N(C([H])([H])[H])S([H])(=O)=O
15,[H]C1([H])C([H])([H])C1([H])[H]
16,[H]C([H])([H])[Si:0](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
17,[H]C([H])=C([N+](=O)[O-])C([H])([H])[H]
18,[H]C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H]
19,[H]N=NC([H])([H])[H]
20,[H]C([H])([H])[N+]([H])([H])C([H])([H])[H]
21,[H]N=C([H])C([H])([H])[H]
22,[H]N=C(O[H])C([H])([H])[H]
23,[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
24,[H]C([H])=C(N([H])[H])N([H])[H]
25,[H]C([H])=C(C([H])([H])[H])[N+]([H])([H])[H]
26,[H]SC([H])=C([H])[H]
27,[H]C([H])([H])[N+](=O)[O-]
28,[H]C([H])([H])OC([H])([H])[H]
29,[H]C([H])=C(I)C([H])([H])[H]
30,[H]OC(=O)N([H])[H]
31,[H]N=C([H])N([H])[H]
32,[H]SC(=C([H])[H])C([H])([H])[H]
33,[H]OC(=C([H])[H])N([H])[H]
34,[H]N=C([O-])N([H])[H]
35,[H]C([H])([H])C([H])([H])C([H])([H])[H]
36,[H]C([H])=C([Br:0])C([H])([H])[H]
37,[H]N(C([H])([H])[H])C([H])([H])[H]
38,[H]OC([H])([H])C([H])([H])[H]
39,[H]N([H])S(=O)(=O)C([H])([H])[H]
40,[H]C([H])=C(N([H])[H])C([H])([H])[H]
41,[H]OC(=O)C([H])([H])[H]
42,[H]C([H])=C([Cl:0])C([H])([H])[H]
43,[H]C([H])=NN([H])[H]
44,[H]C(=O)C([H])([H])[H]
45,[H]N([H])C([H])([H])[Si:0]([H])([H])[H]
46,[H]N([H])C1([H])C([H])([H])C1([H])[H]
47,[H]C([H])([H])C(=O)[O-]
48,[H]C([H])=C([H])C([H])([H])[H]
49,[H]C([H])([H])C([H])([H])[Cl:0]
50,[H]C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
51,[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
52,[H]C([H])([H])C(=O)C([H])([H])[H]
53,[H]N=C(C([H])([H])[H])C([H])([H])[H]
54,[H]C([H])=C(C([H])([H])[H])C([H])([H])[H]
55,[H]N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
56,[H]N=C(S[H])C([H])([H])[H]
57,[H]N([H])OC([H])([H])[H]
58,[H]N([H])N(C([H])([H])[H])C([H])([H])[H]
59,[H]C([H])([H])S(=O)(=O)C([H])([H])[H]
60,[H]C#CC([H])([H])[H]
61,[H]N([H])C(=O)C([H])([H])[H]
62,[H]ON(C([H])([H])[H])C([H])([H])[H]
63,[H]C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
64,[H]C([H])([H])C#N
65,[H]C([H])([H])SC([H])([H])[H]
66,[H]N(C([H])([H])[H])S([H])(=O)=O
67,[H]N([H])C([H])([H])C([H])([H])[H]
68,[H]SC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
69,[H]N([H])C(=O)N([H])[H]
70,[H]ON([H])C([H])([H])[H]
71,[H]N=C(N([H])[H])N([H])[H]
72,[H]C([H])=NS([H])(=O)=O
73,[H]C([H])=C([O-])C([H])([H])[H]
74,[H]C([H])([H])C1([H])C([H])([H])C1([H])[H]
75,[H]C([H])=C(F)C([H])([H])[H]
76,[H]C([H])=C(C([H])([H])[H])S([H])(=O)=O
77,[H]SC([H])([H])C([H])([H])[H]
78,[H]N([H])N([H])C([H])([H])[H]
79,[H]C([H])([H])C([H])([H])[N+]([H])([H])[H]
80,[H]SC([H])(N([H])[H])C([H])([H])[H]
